مطمان                          مطمئن
ارااه                          ارائه
مساال                          مسائل
تااار                          تئاتر
تااتر                          تئاتر
سوااستفاده                سوءاستفاده
قراات                          قرائت
مااده                          مائده
قاام                            قائم
قاال                            قائل
علااق                            علائق
داام                            دائم
جراام                          جرائم
دااما                          دائما
کسراایان                    کسرائیان
موزاایک                      موزائیک
اامه                            ائمه
شاابه‌                          شائبه‌
حااز                            حائز
آراا                            آراء
استرالیاای                استرالیائی
تااید                          تائید
اسراایل                      اسرائیل
ااتلاف                          ائتلاف
لاایک                            لائیک
احیاا                          احیاء
ضیاا                            ضیاء
مصااب                          مصائب
ذااقه                          ذائقه
ماورااالطبیعه          ماوراءالطبیعه
راال                            رئال
گردهماای                    گردهمائی
شهداا                          شهداء
اروپاای                      اروپائی
روستاای                      روستائی
راهنماای                    راهنمائی
واال                            وائل
علاام                            علائم
استرااوس                    استرائوس
اواال                          اوائل
اهداا                          اهداء
مقتداای                      مقتدائی
غذاای                          غذائی
اعضاا                          اعضاء
اشتغال‌زاای                اشتغال‌زائی
سناای                          سنائی
عطاا                            عطاء
حااریان                      حائریان
نماایم                        نمائیم
قضاایه                        قضائیه
استثناا                      استثناء
امضاا                          امضاء
پااین                          پائین
بالاای                        بالائی
اشیاا                          اشیاء
شعاار                          شعائر
پایاای                        پایائی
دریاای                        دریائی
غرااب                          غرائب
ابوالعلاا                    ابوالعلاء
اولیاا                        اولیاء
حقااق                          حقائق
وراا                            وراء
حقااق                          حقائق
شتاا                            شتاء
ندماا                          ندماء
دناات                          دنائت
بهاا                            بهاء‌
زااری                          زائری
اعطاا                          اعطاء
علاا                            علاء
صااب                            صائب
استهزاا                      استهزاء
مشاا                            مشاء
جاای                            جائی
جبراایل                      جبرائیل
هداای                          هدائی
علاا‌الدین                    علاء‌الدین
عطاای                          عطائی
زااران                        زائران
زااد                            زائد
بنااه                          بنائه
ثلثمااه                      ثلثمائه
قاان                            قائن
قاانات                        قائنات
ذخاار                          ذخائر
زاار                            زائر
شیمیاای                      شیمیائی
سااوپولو                    سائوپولو
‌گراای                          گرائی
سیناای                        سینائی
طلاای                            طلائی
شرااط                          شرائط
رجاای                          رجائی
قضاای                          قضائی
طباطباای                    طباطبائی
شرااطی                        شرائطی
غناام                          غنائم
مداان                          مدائن
سکاای                          سکائی
دیااکو                        دیائکو
آسیاای                        آسیائی
جوااز                          جوائز
رثاا                            رثاء
منشاا                          منشاء
طااف                            طائف
باباای                        بابائی
ساایدگی                      سائیدگی
بهاای                          بهائی
قراختاایان                قراختائیان
ماوراا                        ماوراء
ناال                            نائل
نمااید                        نمائید
امراا                          امراء
کااولن                        کائولن
بقاا                            بقاء
از‌آنجاایکه                از‌آنجائیکه
نااین                          نائین
ارتقاا                        ارتقاء
ازاا                            ازاء
وساال                          وسائل
اعطاای                        اعطائی
شناساای                      شناسائی
بیضاای                        بیضائی
سینماای                      سینمائی
رواای                          روائی
وسااط                          وسائط
داراای                        دارائی
خاایز                          خائیز
پاایز                          پائیز
مبداا                          مبداء
فرمانرواای                فرمانروائی
آریاای                        آریائی
رضاایه                        رضائیه
غااب                            غائب
داداای                        دادائی
ضماامی                        ضمائمی
اجزاا                          اجزاء
القاا                          القاء
اتکاای                        اتکائی
برپاای                        برپائی
جابجاای                      جابجائی
ارااث                          ارائث
بسزاای                        بسزائی
محتواای                      محتوائی
نهاای                          نهائی
مزایاای                      مزایائی
ضماام                          ضمائم
آشناای                        آشنایی
اجراای                        اجرایی
تواناای                      توانایی
بیافزااید                  بیافزائید
به‌تنهاای                    به‌تنهائی
بیناای                        بینائی
روشناای                      روشنائی
فضاای                          فضائی
بیفزااید                    بیفزائید
بیازمااید                  بیازمائید
بیاایم                        بیائیم
آنجاای                        آنجایی
ان‌شااالله                         ان‌شاءالله
خلاا                              خلاء
حاال                            حائل
حاالی                          حائلی
وظااف                          وظائف
آکتااو                        آکتائو
اکتااو                        آکتائو
آتااوف                        آتائوف
اجراا                          اجراء
بناا                            بناء
ایفاا                          ایفاء
ابتلاا                          ابتلاء
اغماا                          اغماء
حوااج                          حوائج
انبیاا                        انبیاء
اِذَااب                          اِذَائب
تِدااُ                            تِداءُ
اقتداا                        اقتداء
تااب                            تائب
قراان                          قرائن
ملااکه                          ملائکه
الدمااَ                        الدماءَ
ملااکه‌ای                      ملائکه‌ای
ابتدااً                        ابتداءً
سراار                          سرائر
راا                              راء
ذااق                            ذائق
اسماا                          اسماء
یاا                              یاء
الفباا                        الفباء
باا                              باء
شدااد                          شدائد
انشااالله                         انشاءالله
دلاال                            دلائل
فوااد                          فوائد
ابناا                          ابناء
دلاالی                          دلائلی
عقااد                          عقائد
جااتهم                        جائتهم
السماا                        السماء
